CATReporterIMID,actionType,type,symbol,price,quantityside,eventTimestamp,firmDesignatedID,firmROEID,orderID,routedOrderID,parentOrderID,priorRoutedOrderID,orderType,parentOrderKeyDate,accountHolderType,orderKeyDate,leavesQty,senderType,negotiatedTradeFlag,initiator,affiliateFlag,cancelQty,custDspIntrFlag,solicitationFlag,routeRejectedFlag,electronicTimestamp,electronicDupFlag,tradingSession,destination,isoInd,receiverIMID,multiLegInd,priorRoutedOrderID,representativeInd,infoBarrierID,manualFlag,deptType,senderIMID,destinationType,dupROIDCond
CFSX,NEW,MEORS,HOG,NULL,NULL,20230210T140446.503,NULL,20230210_O_331c8e28-95b2-4522-ba22-d6a5f001ecc3,2315230000000016,2315230000000016.1,NULL,NULL,NULL,NULL,NULL,20230210T140445.153,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,134:CANT,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,285841:CFSX,F,NULL
CFSX,NEW,MEORS,LL,NULL,NULL,20230210T155903.023,NULL,20230210_O_f75957e2-6860-41a7-8ae7-06f946d3a6c3,2315230000000020,2315230000000020.1,NULL,NULL,NULL,NULL,NULL,20230210T155903.217,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,134:CANT,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,285841:CFSX,F,NULL
CFSX,NEW,MEORS,MET,NULL,NULL,20230210T142438.096,NULL,20230210_O_53b97e8d-8d40-4e3f-a254-87b673c5433c,2315230000000018,2315230000000018.1,NULL,NULL,NULL,NULL,NULL,20230210T142438.095,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,134:CANT,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,285841:CFSX,F,NULL
CFSX,NEW,MEORS,NXST,NULL,NULL,20230210T094706.827,NULL,20230210_O_5c37f14a-0515-4547-bf8c-598e2f0e9a5e,2315230000000004,2315230000000004.1,NULL,NULL,NULL,NULL,NULL,20230210T094706.817,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,134:CANT,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,285841:CFSX,F,NULL
CFSX,NEW,MEORS,XRAY,NULL,NULL,20230210T135549.097,NULL,20230210_O_208ad348-4e2b-4d51-b9aa-cd1843acf1ab,2315230000000015,2315230000000015.1,NULL,NULL,NULL,NULL,NULL,20230210T135548.327,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,134:CANT,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,285841:CFSX,F,NULL
CFSX,NEW,MEORS,Z,NULL,NULL,20230210T094246.957,NULL,20230210_O_5d3a6ee5-f621-4edc-99a7-e0cfb8dea67d,2315230000000003,2315230000000003.1,NULL,NULL,NULL,NULL,NULL,20230210T094246.947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,134:CANT,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,285841:CFSX,F,NULL
CFSX,NEW,MECOM,XRAY,NULL,NULL,20230210T135651.017,NULL,20230210_O_c3570399-9482-47a2-b436-c9fccfa12618,2315230000000015,2315230000000015.7,NULL,NULL,MKT,NULL,NULL,20230210T135548.327,10000.0,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ALL,134:CANT,NULL,134:CANT,NULL,NULL,NULL,FI,NULL,NULL,NULL,F,NULL
CFSX,NEW,MENO,B,NULL,NULL,20230210T133959,Pending-1,20230210_O_832a1fc1-dce6-461a-98f9-452c37c85b68,2313230000000010,NULL,NULL,NULL,MKT,NULL,V,20230210T133944.137,NULL,NULL,False,NULL,False,NULL,False,False,NULL,20230210T133944.137,False,ALL,NULL,NULL,NULL,NULL,NULL,N,FI,True,,NULL,NULL,NULL
CFSX,NEW,MENO,BNY,NULL,NULL,20230210T133647,Pending-1,20230210_O_9aaae088-b777-4cd1-8b2c-525a2f48c4ed,2313230000000008,NULL,NULL,NULL,MKT,NULL,V,20230210T133615.657,NULL,NULL,False,NULL,False,NULL,False,False,NULL,20230210T133615.657,False,ALL,NULL,NULL,NULL,NULL,NULL,N,FI,True,,NULL,NULL,NULL
CFSX,NEW,MENO,BOX,NULL,NULL,20230210T134802,Pending-1,20230210_O_7bbce129-c50f-4bf9-8701-bf1298330b92,2313230000000014,NULL,NULL,NULL,MKT,NULL,V,20230210T134755.064,NULL,NULL,False,NULL,False,NULL,False,False,NULL,20230210T134755.064,False,ALL,NULL,NULL,NULL,NULL,NULL,N,FI,True,,NULL,NULL,NULL
